LC,total_area,caribou_density,season,pft,year,weighted_area
Tussock tundra,1611877839,None,calving,Lichens,weighted_area_start,189828932.4
Tussock tundra,1611877839,None,calving,Lichens,weighted_area_end,175810414
Sparsely vegetated,2235470199,None,calving,Deciduous shrubs,weighted_area_start,215946474
Sparsely vegetated,2235470199,None,calving,Deciduous shrubs,weighted_area_end,248469499.6
Sparsely vegetated,2235470199,None,calving,Evergreen shrubs,weighted_area_start,482495770.5
Sparsely vegetated,2235470199,None,calving,Evergreen shrubs,weighted_area_end,492233545.4
Sparsely vegetated,2235470199,None,calving,Forbs,weighted_area_start,34001442.88
Sparsely vegetated,2235470199,None,calving,Forbs,weighted_area_end,33704121
Sparsely vegetated,2235470199,None,calving,Alder,weighted_area_start,280359.1412
Sparsely vegetated,2235470199,None,calving,Alder,weighted_area_end,1330139.118
Sparsely vegetated,2235470199,None,calving,Birch,weighted_area_start,106036298.9
Sparsely vegetated,2235470199,None,calving,Birch,weighted_area_end,121927539.9
Sparsely vegetated,2235470199,None,calving,Graminoids,weighted_area_start,205837370.9
Sparsely vegetated,2235470199,None,calving,Graminoids,weighted_area_end,203141112.6
Sparsely vegetated,2235470199,None,calving,Willow,weighted_area_start,81520217.01
Sparsely vegetated,2235470199,None,calving,Willow,weighted_area_end,80421013.62
Sparsely vegetated,2235470199,None,calving,Lichens,weighted_area_start,361647651.4
Sparsely vegetated,2235470199,None,calving,Lichens,weighted_area_end,368493009.1
Fen,1491640144,None,calving,Deciduous shrubs,weighted_area_start,486918562.5
Fen,1491640144,None,calving,Deciduous shrubs,weighted_area_end,509716842.5
Fen,1491640144,None,calving,Evergreen shrubs,weighted_area_start,232114169.8
Fen,1491640144,None,calving,Evergreen shrubs,weighted_area_end,241293389.5
Fen,1491640144,None,calving,Forbs,weighted_area_start,6805673.224
Fen,1491640144,None,calving,Forbs,weighted_area_end,8478739.482
Fen,1491640144,None,calving,Alder,weighted_area_start,12390652.41
Fen,1491640144,None,calving,Alder,weighted_area_end,22316550.74
Fen,1491640144,None,calving,Birch,weighted_area_start,288811314.5
Fen,1491640144,None,calving,Birch,weighted_area_end,302352816.4
Fen,1491640144,None,calving,Graminoids,weighted_area_start,127094440.2
Fen,1491640144,None,calving,Graminoids,weighted_area_end,112576429.9
Fen,1491640144,None,calving,Willow,weighted_area_start,126755020.8
Fen,1491640144,None,calving,Willow,weighted_area_end,116825517.7
Fen,1491640144,None,calving,Lichens,weighted_area_start,153269849.7
Fen,1491640144,None,calving,Lichens,weighted_area_end,142352914.9
Bog,99900,None,calving,Deciduous shrubs,weighted_area_start,8280
Bog,99900,None,calving,Deciduous shrubs,weighted_area_end,10692
Bog,99900,None,calving,Evergreen shrubs,weighted_area_start,11160
Bog,99900,None,calving,Evergreen shrubs,weighted_area_end,12735
Bog,99900,None,calving,Forbs,weighted_area_start,1620
Bog,99900,None,calving,Forbs,weighted_area_end,1980
Bog,99900,None,calving,Alder,weighted_area_start,927
Bog,99900,None,calving,Alder,weighted_area_end,1530
Bog,99900,None,calving,Birch,weighted_area_start,6543
Bog,99900,None,calving,Birch,weighted_area_end,7128
Bog,99900,None,calving,Graminoids,weighted_area_start,11727
Bog,99900,None,calving,Graminoids,weighted_area_end,13914
Bog,99900,None,calving,Willow,weighted_area_start,1818
Bog,99900,None,calving,Willow,weighted_area_end,2502
Bog,99900,None,calving,Lichens,weighted_area_start,10035
Bog,99900,None,calving,Lichens,weighted_area_end,10539
Shallows/littoral,22500,None,calving,Deciduous shrubs,weighted_area_start,0
Shallows/littoral,22500,None,calving,Deciduous shrubs,weighted_area_end,3006
Shallows/littoral,22500,None,calving,Evergreen shrubs,weighted_area_start,963
Shallows/littoral,22500,None,calving,Evergreen shrubs,weighted_area_end,2610
Shallows/littoral,22500,None,calving,Forbs,weighted_area_start,1395
Shallows/littoral,22500,None,calving,Forbs,weighted_area_end,864
Shallows/littoral,22500,None,calving,Alder,weighted_area_start,0
Shallows/littoral,22500,None,calving,Alder,weighted_area_end,0
Shallows/littoral,22500,None,calving,Birch,weighted_area_start,0
Shallows/littoral,22500,None,calving,Birch,weighted_area_end,1665
Shallows/littoral,22500,None,calving,Graminoids,weighted_area_start,1089
Shallows/littoral,22500,None,calving,Graminoids,weighted_area_end,3348
Shallows/littoral,22500,None,calving,Willow,weighted_area_start,1413
Shallows/littoral,22500,None,calving,Willow,weighted_area_end,1215
Shallows/littoral,22500,None,calving,Lichens,weighted_area_start,324
Shallows/littoral,22500,None,calving,Lichens,weighted_area_end,1233
Barren,792631281.2,None,calving,Deciduous shrubs,weighted_area_start,41408820.42
Barren,792631281.2,None,calving,Deciduous shrubs,weighted_area_end,50334209.72
Barren,792631281.2,None,calving,Evergreen shrubs,weighted_area_start,163053777.5
Barren,792631281.2,None,calving,Evergreen shrubs,weighted_area_end,167721117.3
Barren,792631281.2,None,calving,Forbs,weighted_area_start,15264920.26
Barren,792631281.2,None,calving,Forbs,weighted_area_end,13289755.62
Barren,792631281.2,None,calving,Alder,weighted_area_start,154130.5765
Barren,792631281.2,None,calving,Alder,weighted_area_end,509525.6824
Barren,792631281.2,None,calving,Birch,weighted_area_start,17480114.89
Barren,792631281.2,None,calving,Birch,weighted_area_end,21989338.02
Barren,792631281.2,None,calving,Graminoids,weighted_area_start,30105292.02
Barren,792631281.2,None,calving,Graminoids,weighted_area_end,33941726.93
Barren,792631281.2,None,calving,Willow,weighted_area_start,20060590.73
Barren,792631281.2,None,calving,Willow,weighted_area_end,18812202.07
Barren,792631281.2,None,calving,Lichens,weighted_area_start,114630731.7
Barren,792631281.2,None,calving,Lichens,weighted_area_end,119546737.8
Water,14400,None,calving,Deciduous shrubs,weighted_area_start,0
Water,14400,None,calving,Deciduous shrubs,weighted_area_end,2556
Water,14400,None,calving,Evergreen shrubs,weighted_area_start,0
Water,14400,None,calving,Evergreen shrubs,weighted_area_end,1998
Water,14400,None,calving,Forbs,weighted_area_start,1404
Water,14400,None,calving,Forbs,weighted_area_end,558
Water,14400,None,calving,Alder,weighted_area_start,99
Water,14400,None,calving,Alder,weighted_area_end,378
Water,14400,None,calving,Birch,weighted_area_start,0
Water,14400,None,calving,Birch,weighted_area_end,1269
Water,14400,None,calving,Graminoids,weighted_area_start,279
Water,14400,None,calving,Graminoids,weighted_area_end,3204
Water,14400,None,calving,Willow,weighted_area_start,1404
Water,14400,None,calving,Willow,weighted_area_end,477
Water,14400,None,calving,Lichens,weighted_area_start,54
Water,14400,None,calving,Lichens,weighted_area_end,585
Evergreen forest,144844200,Low,calving,Deciduous shrubs,weighted_area_start,35945793
Evergreen forest,144844200,Low,calving,Deciduous shrubs,weighted_area_end,40735332
Evergreen forest,144844200,Low,calving,Evergreen shrubs,weighted_area_start,17716824
Evergreen forest,144844200,Low,calving,Evergreen shrubs,weighted_area_end,17692659
Evergreen forest,144844200,Low,calving,Forbs,weighted_area_start,744201
Evergreen forest,144844200,Low,calving,Forbs,weighted_area_end,836280
Evergreen forest,144844200,Low,calving,Alder,weighted_area_start,6462198
Evergreen forest,144844200,Low,calving,Alder,weighted_area_end,9350145
Evergreen forest,144844200,Low,calving,Birch,weighted_area_start,13353030
Evergreen forest,144844200,Low,calving,Birch,weighted_area_end,15619194
Evergreen forest,144844200,Low,calving,Graminoids,weighted_area_start,1062216
Evergreen forest,144844200,Low,calving,Graminoids,weighted_area_end,984510
Evergreen forest,144844200,Low,calving,Willow,weighted_area_start,10295136
Evergreen forest,144844200,Low,calving,Willow,weighted_area_end,9799443
Evergreen forest,144844200,Low,calving,Lichens,weighted_area_start,14242500
Evergreen forest,144844200,Low,calving,Lichens,weighted_area_end,10892007
Deciduous forest,64800,Low,calving,Deciduous shrubs,weighted_area_start,33345
Deciduous forest,64800,Low,calving,Deciduous shrubs,weighted_area_end,32265
Deciduous forest,64800,Low,calving,Evergreen shrubs,weighted_area_start,7281
Deciduous forest,64800,Low,calving,Evergreen shrubs,weighted_area_end,7821
Deciduous forest,64800,Low,calving,Forbs,weighted_area_start,594
Deciduous forest,64800,Low,calving,Forbs,weighted_area_end,1044
Deciduous forest,64800,Low,calving,Alder,weighted_area_start,7371
Deciduous forest,64800,Low,calving,Alder,weighted_area_end,7353
Deciduous forest,64800,Low,calving,Birch,weighted_area_start,13311
Deciduous forest,64800,Low,calving,Birch,weighted_area_end,13365
Deciduous forest,64800,Low,calving,Graminoids,weighted_area_start,1989
Deciduous forest,64800,Low,calving,Graminoids,weighted_area_end,1926
Deciduous forest,64800,Low,calving,Willow,weighted_area_start,7038
Deciduous forest,64800,Low,calving,Willow,weighted_area_end,6516
Deciduous forest,64800,Low,calving,Lichens,weighted_area_start,2097
Deciduous forest,64800,Low,calving,Lichens,weighted_area_end,1737
Mixed forest,11460600,Low,calving,Deciduous shrubs,weighted_area_start,5691411
Mixed forest,11460600,Low,calving,Deciduous shrubs,weighted_area_end,5975370
Mixed forest,11460600,Low,calving,Evergreen shrubs,weighted_area_start,1345050
Mixed forest,11460600,Low,calving,Evergreen shrubs,weighted_area_end,1308735
Mixed forest,11460600,Low,calving,Forbs,weighted_area_start,128799
Mixed forest,11460600,Low,calving,Forbs,weighted_area_end,128349
Mixed forest,11460600,Low,calving,Alder,weighted_area_start,1251432
Mixed forest,11460600,Low,calving,Alder,weighted_area_end,1680345
Mixed forest,11460600,Low,calving,Birch,weighted_area_start,1909305
Mixed forest,11460600,Low,calving,Birch,weighted_area_end,2049669
Mixed forest,11460600,Low,calving,Graminoids,weighted_area_start,520812
Mixed forest,11460600,Low,calving,Graminoids,weighted_area_end,400968
Mixed forest,11460600,Low,calving,Willow,weighted_area_start,1350594
Mixed forest,11460600,Low,calving,Willow,weighted_area_end,1245060
Mixed forest,11460600,Low,calving,Lichens,weighted_area_start,481158
Mixed forest,11460600,Low,calving,Lichens,weighted_area_end,342648
Woodland,2308310100,Low,calving,Deciduous shrubs,weighted_area_start,599838867
Woodland,2308310100,Low,calving,Deciduous shrubs,weighted_area_end,681444099
Woodland,2308310100,Low,calving,Evergreen shrubs,weighted_area_start,327174543
Woodland,2308310100,Low,calving,Evergreen shrubs,weighted_area_end,322265205
Woodland,2308310100,Low,calving,Forbs,weighted_area_start,9773775
Woodland,2308310100,Low,calving,Forbs,weighted_area_end,11440755
Woodland,2308310100,Low,calving,Alder,weighted_area_start,74958066
Woodland,2308310100,Low,calving,Alder,weighted_area_end,124896618
Woodland,2308310100,Low,calving,Birch,weighted_area_start,246677976
Woodland,2308310100,Low,calving,Birch,weighted_area_end,272434761
Woodland,2308310100,Low,calving,Graminoids,weighted_area_start,86329395
Woodland,2308310100,Low,calving,Graminoids,weighted_area_end,63337905
Woodland,2308310100,Low,calving,Willow,weighted_area_start,159451884
Woodland,2308310100,Low,calving,Willow,weighted_area_end,154845738
Woodland,2308310100,Low,calving,Lichens,weighted_area_start,244912158
Woodland,2308310100,Low,calving,Lichens,weighted_area_end,191107431
Low shrub,1099761300,Low,calving,Deciduous shrubs,weighted_area_start,369637623
Low shrub,1099761300,Low,calving,Deciduous shrubs,weighted_area_end,398612628
Low shrub,1099761300,Low,calving,Evergreen shrubs,weighted_area_start,182870784
Low shrub,1099761300,Low,calving,Evergreen shrubs,weighted_area_end,178831314
Low shrub,1099761300,Low,calving,Forbs,weighted_area_start,5928237
Low shrub,1099761300,Low,calving,Forbs,weighted_area_end,8038917
Low shrub,1099761300,Low,calving,Alder,weighted_area_start,19594890
Low shrub,1099761300,Low,calving,Alder,weighted_area_end,34518555
Low shrub,1099761300,Low,calving,Birch,weighted_area_start,201831813
Low shrub,1099761300,Low,calving,Birch,weighted_area_end,219756366
Low shrub,1099761300,Low,calving,Graminoids,weighted_area_start,95282001
Low shrub,1099761300,Low,calving,Graminoids,weighted_area_end,72562491
Low shrub,1099761300,Low,calving,Willow,weighted_area_start,81531036
Low shrub,1099761300,Low,calving,Willow,weighted_area_end,80999343
Low shrub,1099761300,Low,calving,Lichens,weighted_area_start,85616604
Low shrub,1099761300,Low,calving,Lichens,weighted_area_end,71055657
Tall shrub,385141500,Low,calving,Deciduous shrubs,weighted_area_start,191041002
Tall shrub,385141500,Low,calving,Deciduous shrubs,weighted_area_end,200869461
Tall shrub,385141500,Low,calving,Evergreen shrubs,weighted_area_start,47728503
Tall shrub,385141500,Low,calving,Evergreen shrubs,weighted_area_end,46013481
Tall shrub,385141500,Low,calving,Forbs,weighted_area_start,4856148
Tall shrub,385141500,Low,calving,Forbs,weighted_area_end,5417577
Tall shrub,385141500,Low,calving,Alder,weighted_area_start,11565486
Tall shrub,385141500,Low,calving,Alder,weighted_area_end,21152367
Tall shrub,385141500,Low,calving,Birch,weighted_area_start,91535850
Tall shrub,385141500,Low,calving,Birch,weighted_area_end,100876320
Tall shrub,385141500,Low,calving,Graminoids,weighted_area_start,32560614
Tall shrub,385141500,Low,calving,Graminoids,weighted_area_end,22893039
Tall shrub,385141500,Low,calving,Willow,weighted_area_start,54803817
Tall shrub,385141500,Low,calving,Willow,weighted_area_end,52189992
Tall shrub,385141500,Low,calving,Lichens,weighted_area_start,15462684
Tall shrub,385141500,Low,calving,Lichens,weighted_area_end,11717892
Open shrubs,38297700,Low,calving,Deciduous shrubs,weighted_area_start,10443177
Open shrubs,38297700,Low,calving,Deciduous shrubs,weighted_area_end,11744145
Open shrubs,38297700,Low,calving,Evergreen shrubs,weighted_area_start,7535871
Open shrubs,38297700,Low,calving,Evergreen shrubs,weighted_area_end,7717410
Open shrubs,38297700,Low,calving,Forbs,weighted_area_start,84663
Open shrubs,38297700,Low,calving,Forbs,weighted_area_end,92385
Open shrubs,38297700,Low,calving,Alder,weighted_area_start,417168
Open shrubs,38297700,Low,calving,Alder,weighted_area_end,749007
Open shrubs,38297700,Low,calving,Birch,weighted_area_start,5819832
Open shrubs,38297700,Low,calving,Birch,weighted_area_end,6715341
Open shrubs,38297700,Low,calving,Graminoids,weighted_area_start,2596401
Open shrubs,38297700,Low,calving,Graminoids,weighted_area_end,2516103
Open shrubs,38297700,Low,calving,Willow,weighted_area_start,1747827
Open shrubs,38297700,Low,calving,Willow,weighted_area_end,1649241
Open shrubs,38297700,Low,calving,Lichens,weighted_area_start,5660289
Open shrubs,38297700,Low,calving,Lichens,weighted_area_end,4449204
Herbaceous,677512800,Low,calving,Deciduous shrubs,weighted_area_start,218046051
Herbaceous,677512800,Low,calving,Deciduous shrubs,weighted_area_end,247538268
Herbaceous,677512800,Low,calving,Evergreen shrubs,weighted_area_start,127572066
Herbaceous,677512800,Low,calving,Evergreen shrubs,weighted_area_end,126185463
Herbaceous,677512800,Low,calving,Forbs,weighted_area_start,8195562
Herbaceous,677512800,Low,calving,Forbs,weighted_area_end,9421749
Herbaceous,677512800,Low,calving,Alder,weighted_area_start,9731664
Herbaceous,677512800,Low,calving,Alder,weighted_area_end,20855925
Herbaceous,677512800,Low,calving,Birch,weighted_area_start,102287943
Herbaceous,677512800,Low,calving,Birch,weighted_area_end,116729082
Herbaceous,677512800,Low,calving,Graminoids,weighted_area_start,88099740
Herbaceous,677512800,Low,calving,Graminoids,weighted_area_end,74604024
Herbaceous,677512800,Low,calving,Willow,weighted_area_start,61636023
Herbaceous,677512800,Low,calving,Willow,weighted_area_end,60710436
Herbaceous,677512800,Low,calving,Lichens,weighted_area_start,62394165
Herbaceous,677512800,Low,calving,Lichens,weighted_area_end,48925953
Tussock tundra,556117200,Low,calving,Deciduous shrubs,weighted_area_start,178716771
Tussock tundra,556117200,Low,calving,Deciduous shrubs,weighted_area_end,205787799
Tussock tundra,556117200,Low,calving,Evergreen shrubs,weighted_area_start,105982641
Tussock tundra,556117200,Low,calving,Evergreen shrubs,weighted_area_end,106041078
Tussock tundra,556117200,Low,calving,Forbs,weighted_area_start,1781973
Tussock tundra,556117200,Low,calving,Forbs,weighted_area_end,2374092
Tussock tundra,556117200,Low,calving,Alder,weighted_area_start,5249979
Tussock tundra,556117200,Low,calving,Alder,weighted_area_end,12816531
Tussock tundra,556117200,Low,calving,Birch,weighted_area_start,111479634
Tussock tundra,556117200,Low,calving,Birch,weighted_area_end,127189350
Tussock tundra,556117200,Low,calving,Graminoids,weighted_area_start,82483488
Tussock tundra,556117200,Low,calving,Graminoids,weighted_area_end,65675133
Tussock tundra,556117200,Low,calving,Willow,weighted_area_start,34759728
Tussock tundra,556117200,Low,calving,Willow,weighted_area_end,32401026
Tussock tundra,556117200,Low,calving,Lichens,weighted_area_start,50967720
Tussock tundra,556117200,Low,calving,Lichens,weighted_area_end,40403646
Sparsely vegetated,668718900,Low,calving,Deciduous shrubs,weighted_area_start,53571996
Sparsely vegetated,668718900,Low,calving,Deciduous shrubs,weighted_area_end,64902024
Sparsely vegetated,668718900,Low,calving,Evergreen shrubs,weighted_area_start,150947289
Sparsely vegetated,668718900,Low,calving,Evergreen shrubs,weighted_area_end,149626314
Sparsely vegetated,668718900,Low,calving,Forbs,weighted_area_start,8648685
Sparsely vegetated,668718900,Low,calving,Forbs,weighted_area_end,9685755
Sparsely vegetated,668718900,Low,calving,Alder,weighted_area_start,239400
Sparsely vegetated,668718900,Low,calving,Alder,weighted_area_end,762543
Sparsely vegetated,668718900,Low,calving,Birch,weighted_area_start,22648986
Sparsely vegetated,668718900,Low,calving,Birch,weighted_area_end,29338920
Sparsely vegetated,668718900,Low,calving,Graminoids,weighted_area_start,34560999
Sparsely vegetated,668718900,Low,calving,Graminoids,weighted_area_end,37545354
Sparsely vegetated,668718900,Low,calving,Willow,weighted_area_start,15391125
Sparsely vegetated,668718900,Low,calving,Willow,weighted_area_end,17316540
Sparsely vegetated,668718900,Low,calving,Lichens,weighted_area_start,93621645
Sparsely vegetated,668718900,Low,calving,Lichens,weighted_area_end,89400726
Fen,820241100,Low,calving,Deciduous shrubs,weighted_area_start,274079790
Fen,820241100,Low,calving,Deciduous shrubs,weighted_area_end,308207142
Fen,820241100,Low,calving,Evergreen shrubs,weighted_area_start,127759608
Fen,820241100,Low,calving,Evergreen shrubs,weighted_area_end,128290374
Fen,820241100,Low,calving,Forbs,weighted_area_start,1794906
Fen,820241100,Low,calving,Forbs,weighted_area_end,3145851
Fen,820241100,Low,calving,Alder,weighted_area_start,11595447
Fen,820241100,Low,calving,Alder,weighted_area_end,25295130
Fen,820241100,Low,calving,Birch,weighted_area_start,152459973
Fen,820241100,Low,calving,Birch,weighted_area_end,169122087
Fen,820241100,Low,calving,Graminoids,weighted_area_start,75916179
Fen,820241100,Low,calving,Graminoids,weighted_area_end,56227977
Fen,820241100,Low,calving,Willow,weighted_area_start,67669722
Fen,820241100,Low,calving,Willow,weighted_area_end,64426986
Fen,820241100,Low,calving,Lichens,weighted_area_start,66765096
Fen,820241100,Low,calving,Lichens,weighted_area_end,53536932
Bog,17100,Low,calving,Deciduous shrubs,weighted_area_start,2700
Bog,17100,Low,calving,Deciduous shrubs,weighted_area_end,6174
Bog,17100,Low,calving,Evergreen shrubs,weighted_area_start,2448
Bog,17100,Low,calving,Evergreen shrubs,weighted_area_end,2637
Bog,17100,Low,calving,Forbs,weighted_area_start,90
Bog,17100,Low,calving,Forbs,weighted_area_end,180
Bog,17100,Low,calving,Alder,weighted_area_start,648
Bog,17100,Low,calving,Alder,weighted_area_end,1386
Bog,17100,Low,calving,Birch,weighted_area_start,1296
Bog,17100,Low,calving,Birch,weighted_area_end,2385
Bog,17100,Low,calving,Graminoids,weighted_area_start,234
Bog,17100,Low,calving,Graminoids,weighted_area_end,711
Bog,17100,Low,calving,Willow,weighted_area_start,639
Bog,17100,Low,calving,Willow,weighted_area_end,873
Bog,17100,Low,calving,Lichens,weighted_area_start,1008
Bog,17100,Low,calving,Lichens,weighted_area_end,1026
Barren,256138200,Low,calving,Deciduous shrubs,weighted_area_start,13579515
Barren,256138200,Low,calving,Deciduous shrubs,weighted_area_end,16622199
Barren,256138200,Low,calving,Evergreen shrubs,weighted_area_start,52468506
Barren,256138200,Low,calving,Evergreen shrubs,weighted_area_end,52763274
Barren,256138200,Low,calving,Forbs,weighted_area_start,3329469
Barren,256138200,Low,calving,Forbs,weighted_area_end,3237507
Barren,256138200,Low,calving,Alder,weighted_area_start,93798
Barren,256138200,Low,calving,Alder,weighted_area_end,299151
Barren,256138200,Low,calving,Birch,weighted_area_start,6508962
Barren,256138200,Low,calving,Birch,weighted_area_end,8364960
Barren,256138200,Low,calving,Graminoids,weighted_area_start,7871679
Barren,256138200,Low,calving,Graminoids,weighted_area_end,9363330
Barren,256138200,Low,calving,Willow,weighted_area_start,4119705
Barren,256138200,Low,calving,Willow,weighted_area_end,4202253
Barren,256138200,Low,calving,Lichens,weighted_area_start,34949061
Barren,256138200,Low,calving,Lichens,weighted_area_end,33517206
Evergreen forest,76981500,Medium,calving,Deciduous shrubs,weighted_area_start,20352438
Evergreen forest,76981500,Medium,calving,Deciduous shrubs,weighted_area_end,23222961
Evergreen forest,76981500,Medium,calving,Evergreen shrubs,weighted_area_start,9160875
Evergreen forest,76981500,Medium,calving,Evergreen shrubs,weighted_area_end,9024543
Evergreen forest,76981500,Medium,calving,Forbs,weighted_area_start,305559
Evergreen forest,76981500,Medium,calving,Forbs,weighted_area_end,423099
Evergreen forest,76981500,Medium,calving,Alder,weighted_area_start,3417786
Evergreen forest,76981500,Medium,calving,Alder,weighted_area_end,5206842
Evergreen forest,76981500,Medium,calving,Birch,weighted_area_start,7181721
Evergreen forest,76981500,Medium,calving,Birch,weighted_area_end,8525457
Evergreen forest,76981500,Medium,calving,Graminoids,weighted_area_start,727290
Evergreen forest,76981500,Medium,calving,Graminoids,weighted_area_end,697527
Evergreen forest,76981500,Medium,calving,Willow,weighted_area_start,6715413
Evergreen forest,76981500,Medium,calving,Willow,weighted_area_end,6500736
Evergreen forest,76981500,Medium,calving,Lichens,weighted_area_start,6892929
Evergreen forest,76981500,Medium,calving,Lichens,weighted_area_end,4709367
Deciduous forest,2700,Medium,calving,Deciduous shrubs,weighted_area_start,432
Deciduous forest,2700,Medium,calving,Deciduous shrubs,weighted_area_end,657
Deciduous forest,2700,Medium,calving,Evergreen shrubs,weighted_area_start,540
Deciduous forest,2700,Medium,calving,Evergreen shrubs,weighted_area_end,477
Deciduous forest,2700,Medium,calving,Forbs,weighted_area_start,9
Deciduous forest,2700,Medium,calving,Forbs,weighted_area_end,63
Deciduous forest,2700,Medium,calving,Alder,weighted_area_start,36
Deciduous forest,2700,Medium,calving,Alder,weighted_area_end,54
Deciduous forest,2700,Medium,calving,Birch,weighted_area_start,180
Deciduous forest,2700,Medium,calving,Birch,weighted_area_end,162
Deciduous forest,2700,Medium,calving,Graminoids,weighted_area_start,117
Deciduous forest,2700,Medium,calving,Graminoids,weighted_area_end,54
Deciduous forest,2700,Medium,calving,Willow,weighted_area_start,90
Deciduous forest,2700,Medium,calving,Willow,weighted_area_end,90
Deciduous forest,2700,Medium,calving,Lichens,weighted_area_start,441
Deciduous forest,2700,Medium,calving,Lichens,weighted_area_end,369
Mixed forest,3399300,Medium,calving,Deciduous shrubs,weighted_area_start,1680147
Mixed forest,3399300,Medium,calving,Deciduous shrubs,weighted_area_end,1778031
Mixed forest,3399300,Medium,calving,Evergreen shrubs,weighted_area_start,426123
Mixed forest,3399300,Medium,calving,Evergreen shrubs,weighted_area_end,391941
Mixed forest,3399300,Medium,calving,Forbs,weighted_area_start,45054
Mixed forest,3399300,Medium,calving,Forbs,weighted_area_end,46314
Mixed forest,3399300,Medium,calving,Alder,weighted_area_start,314361
Mixed forest,3399300,Medium,calving,Alder,weighted_area_end,455526
Mixed forest,3399300,Medium,calving,Birch,weighted_area_start,622332
Mixed forest,3399300,Medium,calving,Birch,weighted_area_end,672786
Mixed forest,3399300,Medium,calving,Graminoids,weighted_area_start,148131
Mixed forest,3399300,Medium,calving,Graminoids,weighted_area_end,107577
Mixed forest,3399300,Medium,calving,Willow,weighted_area_start,450594
Mixed forest,3399300,Medium,calving,Willow,weighted_area_end,426024
Mixed forest,3399300,Medium,calving,Lichens,weighted_area_start,141615
Mixed forest,3399300,Medium,calving,Lichens,weighted_area_end,90189
Woodland,1256049000,Medium,calving,Deciduous shrubs,weighted_area_start,340144722
Woodland,1256049000,Medium,calving,Deciduous shrubs,weighted_area_end,393629814
Woodland,1256049000,Medium,calving,Evergreen shrubs,weighted_area_start,180829665
Woodland,1256049000,Medium,calving,Evergreen shrubs,weighted_area_end,175976136
Woodland,1256049000,Medium,calving,Forbs,weighted_area_start,4971177
Woodland,1256049000,Medium,calving,Forbs,weighted_area_end,6922980
Woodland,1256049000,Medium,calving,Alder,weighted_area_start,39675114
Woodland,1256049000,Medium,calving,Alder,weighted_area_end,70859556
Woodland,1256049000,Medium,calving,Birch,weighted_area_start,141575697
Woodland,1256049000,Medium,calving,Birch,weighted_area_end,160663581
Woodland,1256049000,Medium,calving,Graminoids,weighted_area_start,43380837
Woodland,1256049000,Medium,calving,Graminoids,weighted_area_end,32610825
Woodland,1256049000,Medium,calving,Willow,weighted_area_start,98019090
Woodland,1256049000,Medium,calving,Willow,weighted_area_end,95261292
Woodland,1256049000,Medium,calving,Lichens,weighted_area_start,130948461
Woodland,1256049000,Medium,calving,Lichens,weighted_area_end,90717867
Low shrub,878571900,Medium,calving,Deciduous shrubs,weighted_area_start,297280845
Low shrub,878571900,Medium,calving,Deciduous shrubs,weighted_area_end,332483508
Low shrub,878571900,Medium,calving,Evergreen shrubs,weighted_area_start,143485182
Low shrub,878571900,Medium,calving,Evergreen shrubs,weighted_area_end,139254138
Low shrub,878571900,Medium,calving,Forbs,weighted_area_start,6319881
Low shrub,878571900,Medium,calving,Forbs,weighted_area_end,8502336
Low shrub,878571900,Medium,calving,Alder,weighted_area_start,10622034
Low shrub,878571900,Medium,calving,Alder,weighted_area_end,22760541
Low shrub,878571900,Medium,calving,Birch,weighted_area_start,159847587
Low shrub,878571900,Medium,calving,Birch,weighted_area_end,180761247
Low shrub,878571900,Medium,calving,Graminoids,weighted_area_start,96372918
Low shrub,878571900,Medium,calving,Graminoids,weighted_area_end,73349568
Low shrub,878571900,Medium,calving,Willow,weighted_area_start,77528709
Low shrub,878571900,Medium,calving,Willow,weighted_area_end,77808402
Low shrub,878571900,Medium,calving,Lichens,weighted_area_start,70573023
Low shrub,878571900,Medium,calving,Lichens,weighted_area_end,53429238
Tall shrub,275490900,Medium,calving,Deciduous shrubs,weighted_area_start,136842984
Tall shrub,275490900,Medium,calving,Deciduous shrubs,weighted_area_end,147270312
Tall shrub,275490900,Medium,calving,Evergreen shrubs,weighted_area_start,32893146
Tall shrub,275490900,Medium,calving,Evergreen shrubs,weighted_area_end,31389534
Tall shrub,275490900,Medium,calving,Forbs,weighted_area_start,3604833
Tall shrub,275490900,Medium,calving,Forbs,weighted_area_end,4225806
Tall shrub,275490900,Medium,calving,Alder,weighted_area_start,5068107
Tall shrub,275490900,Medium,calving,Alder,weighted_area_end,12365163
Tall shrub,275490900,Medium,calving,Birch,weighted_area_start,66970548
Tall shrub,275490900,Medium,calving,Birch,weighted_area_end,77181714
Tall shrub,275490900,Medium,calving,Graminoids,weighted_area_start,26946567
Tall shrub,275490900,Medium,calving,Graminoids,weighted_area_end,18647910
Tall shrub,275490900,Medium,calving,Willow,weighted_area_start,43968267
Tall shrub,275490900,Medium,calving,Willow,weighted_area_end,41665401
Tall shrub,275490900,Medium,calving,Lichens,weighted_area_start,10841301
Tall shrub,275490900,Medium,calving,Lichens,weighted_area_end,7430400
Open shrubs,21170700,Medium,calving,Deciduous shrubs,weighted_area_start,5657418
Open shrubs,21170700,Medium,calving,Deciduous shrubs,weighted_area_end,6436242
Open shrubs,21170700,Medium,calving,Evergreen shrubs,weighted_area_start,4724766
Open shrubs,21170700,Medium,calving,Evergreen shrubs,weighted_area_end,4647717
Open shrubs,21170700,Medium,calving,Forbs,weighted_area_start,56754
