LC,caribou_density,season,pft,change_type,change_count
Mixed forest,High,autumn,Graminoids,Decrease,276
Mixed forest,High,autumn,Graminoids,|Decrease| >= RMSE,2
Mixed forest,High,autumn,Willow,No change,162
Mixed forest,High,autumn,Willow,Increase,113
Mixed forest,High,autumn,Willow,Increase >= RMSE,1
Mixed forest,High,autumn,Willow,Decrease,395
Mixed forest,High,autumn,Willow,|Decrease| >= RMSE,3
Mixed forest,High,autumn,Lichens,No change,228
Mixed forest,High,autumn,Lichens,Increase,88
Mixed forest,High,autumn,Lichens,Increase >= RMSE,1
Mixed forest,High,autumn,Lichens,Decrease,327
Mixed forest,High,autumn,Lichens,|Decrease| >= RMSE,30
Woodland,High,autumn,Deciduous shrubs,No change,34032
Woodland,High,autumn,Deciduous shrubs,Increase,232571
Woodland,High,autumn,Deciduous shrubs,Increase >= RMSE,10176
Woodland,High,autumn,Deciduous shrubs,Decrease,29371
Woodland,High,autumn,Deciduous shrubs,|Decrease| >= RMSE,489
Woodland,High,autumn,Evergreen shrubs,No change,85319
Woodland,High,autumn,Evergreen shrubs,Increase,125467
Woodland,High,autumn,Evergreen shrubs,Increase >= RMSE,76
Woodland,High,autumn,Evergreen shrubs,Decrease,95698
Woodland,High,autumn,Evergreen shrubs,|Decrease| >= RMSE,79
Woodland,High,autumn,Forbs,No change,224589
Woodland,High,autumn,Forbs,Increase,45233
Woodland,High,autumn,Forbs,Increase >= RMSE,521
Woodland,High,autumn,Forbs,Decrease,35593
Woodland,High,autumn,Forbs,|Decrease| >= RMSE,703
Woodland,High,autumn,Alder,No change,96221
Woodland,High,autumn,Alder,Increase,171148
Woodland,High,autumn,Alder,Increase >= RMSE,25698
Woodland,High,autumn,Alder,Decrease,13431
Woodland,High,autumn,Alder,|Decrease| >= RMSE,141
Woodland,High,autumn,Birch,No change,43786
Woodland,High,autumn,Birch,Increase,174275
Woodland,High,autumn,Birch,Increase >= RMSE,26841
Woodland,High,autumn,Birch,Decrease,59040
Woodland,High,autumn,Birch,|Decrease| >= RMSE,2697
Woodland,High,autumn,Graminoids,No change,157840
Woodland,High,autumn,Graminoids,Increase,51947
Woodland,High,autumn,Graminoids,Increase >= RMSE,746
Woodland,High,autumn,Graminoids,Decrease,94387
Woodland,High,autumn,Graminoids,|Decrease| >= RMSE,1719
Woodland,High,autumn,Willow,No change,97771
Woodland,High,autumn,Willow,Increase,59925
Woodland,High,autumn,Willow,Increase >= RMSE,323
Woodland,High,autumn,Willow,Decrease,147299
Woodland,High,autumn,Willow,|Decrease| >= RMSE,1321
Woodland,High,autumn,Lichens,No change,44501
Woodland,High,autumn,Lichens,Increase,25409
Woodland,High,autumn,Lichens,Increase >= RMSE,357
Woodland,High,autumn,Lichens,Decrease,207123
Woodland,High,autumn,Lichens,|Decrease| >= RMSE,29249
Low shrub,High,autumn,Deciduous shrubs,No change,40416
Low shrub,High,autumn,Deciduous shrubs,Increase,251768
Low shrub,High,autumn,Deciduous shrubs,Increase >= RMSE,10108
Low shrub,High,autumn,Deciduous shrubs,Decrease,52363
Low shrub,High,autumn,Deciduous shrubs,|Decrease| >= RMSE,417
Low shrub,High,autumn,Evergreen shrubs,No change,71296
Low shrub,High,autumn,Evergreen shrubs,Increase,150486
Low shrub,High,autumn,Evergreen shrubs,Increase >= RMSE,2421
Low shrub,High,autumn,Evergreen shrubs,Decrease,130344
Low shrub,High,autumn,Evergreen shrubs,|Decrease| >= RMSE,525
Low shrub,High,autumn,Forbs,No change,272052
Low shrub,High,autumn,Forbs,Increase,50836
Low shrub,High,autumn,Forbs,Increase >= RMSE,910
Low shrub,High,autumn,Forbs,Decrease,31000
Low shrub,High,autumn,Forbs,|Decrease| >= RMSE,274
Low shrub,High,autumn,Alder,No change,203907
Low shrub,High,autumn,Alder,Increase,115598
Low shrub,High,autumn,Alder,Increase >= RMSE,20185
Low shrub,High,autumn,Alder,Decrease,14778
Low shrub,High,autumn,Alder,|Decrease| >= RMSE,604
Low shrub,High,autumn,Birch,No change,50429
Low shrub,High,autumn,Birch,Increase,187943
Low shrub,High,autumn,Birch,Increase >= RMSE,29277
Low shrub,High,autumn,Birch,Decrease,83762
Low shrub,High,autumn,Birch,|Decrease| >= RMSE,3661
Low shrub,High,autumn,Graminoids,No change,131180
Low shrub,High,autumn,Graminoids,Increase,54143
Low shrub,High,autumn,Graminoids,Increase >= RMSE,1171
Low shrub,High,autumn,Graminoids,Decrease,162219
Low shrub,High,autumn,Graminoids,|Decrease| >= RMSE,6359
Low shrub,High,autumn,Willow,No change,110668
Low shrub,High,autumn,Willow,Increase,92422
Low shrub,High,autumn,Willow,Increase >= RMSE,1633
Low shrub,High,autumn,Willow,Decrease,146723
Low shrub,High,autumn,Willow,|Decrease| >= RMSE,3626
Low shrub,High,autumn,Lichens,No change,92049
Low shrub,High,autumn,Lichens,Increase,36791
Low shrub,High,autumn,Lichens,Increase >= RMSE,701
Low shrub,High,autumn,Lichens,Decrease,201090
Low shrub,High,autumn,Lichens,|Decrease| >= RMSE,24441
Tall shrub,High,autumn,Deciduous shrubs,No change,8369
Tall shrub,High,autumn,Deciduous shrubs,Increase,67759
Tall shrub,High,autumn,Deciduous shrubs,Increase >= RMSE,1542
Tall shrub,High,autumn,Deciduous shrubs,Decrease,14071
Tall shrub,High,autumn,Deciduous shrubs,|Decrease| >= RMSE,20
Tall shrub,High,autumn,Evergreen shrubs,No change,18476
Tall shrub,High,autumn,Evergreen shrubs,Increase,42679
Tall shrub,High,autumn,Evergreen shrubs,Increase >= RMSE,689
Tall shrub,High,autumn,Evergreen shrubs,Decrease,29795
Tall shrub,High,autumn,Evergreen shrubs,|Decrease| >= RMSE,122
Tall shrub,High,autumn,Forbs,No change,48923
Tall shrub,High,autumn,Forbs,Increase,23897
Tall shrub,High,autumn,Forbs,Increase >= RMSE,53
Tall shrub,High,autumn,Forbs,Decrease,18789
Tall shrub,High,autumn,Forbs,|Decrease| >= RMSE,99
Tall shrub,High,autumn,Alder,No change,43373
Tall shrub,High,autumn,Alder,Increase,30539
Tall shrub,High,autumn,Alder,Increase >= RMSE,12580
Tall shrub,High,autumn,Alder,Decrease,4778
Tall shrub,High,autumn,Alder,|Decrease| >= RMSE,491
Tall shrub,High,autumn,Birch,No change,8419
Tall shrub,High,autumn,Birch,Increase,54466
Tall shrub,High,autumn,Birch,Increase >= RMSE,10426
Tall shrub,High,autumn,Birch,Decrease,17858
Tall shrub,High,autumn,Birch,|Decrease| >= RMSE,592
Tall shrub,High,autumn,Graminoids,No change,20866
Tall shrub,High,autumn,Graminoids,Increase,11970
Tall shrub,High,autumn,Graminoids,Increase >= RMSE,154
Tall shrub,High,autumn,Graminoids,Decrease,57078
Tall shrub,High,autumn,Graminoids,|Decrease| >= RMSE,1693
Tall shrub,High,autumn,Willow,No change,15249
Tall shrub,High,autumn,Willow,Increase,20010
Tall shrub,High,autumn,Willow,Increase >= RMSE,159
Tall shrub,High,autumn,Willow,Decrease,55186
Tall shrub,High,autumn,Willow,|Decrease| >= RMSE,1157
Tall shrub,High,autumn,Lichens,No change,29229
Tall shrub,High,autumn,Lichens,Increase,8942
Tall shrub,High,autumn,Lichens,Increase >= RMSE,269
Tall shrub,High,autumn,Lichens,Decrease,50120
Tall shrub,High,autumn,Lichens,|Decrease| >= RMSE,3201
Open shrubs,High,autumn,Deciduous shrubs,No change,2040
Open shrubs,High,autumn,Deciduous shrubs,Increase,10789
Open shrubs,High,autumn,Deciduous shrubs,Increase >= RMSE,329
Open shrubs,High,autumn,Deciduous shrubs,Decrease,2358
Open shrubs,High,autumn,Deciduous shrubs,|Decrease| >= RMSE,6
Open shrubs,High,autumn,Evergreen shrubs,No change,3032
Open shrubs,High,autumn,Evergreen shrubs,Increase,8619
Open shrubs,High,autumn,Evergreen shrubs,Increase >= RMSE,19
Open shrubs,High,autumn,Evergreen shrubs,Decrease,3843
Open shrubs,High,autumn,Evergreen shrubs,|Decrease| >= RMSE,9
Open shrubs,High,autumn,Forbs,No change,13401
Open shrubs,High,autumn,Forbs,Increase,1311
Open shrubs,High,autumn,Forbs,Increase >= RMSE,4
Open shrubs,High,autumn,Forbs,Decrease,799
Open shrubs,High,autumn,Forbs,|Decrease| >= RMSE,7
Open shrubs,High,autumn,Alder,No change,12362
Open shrubs,High,autumn,Alder,Increase,2243
Open shrubs,High,autumn,Alder,Increase >= RMSE,478
Open shrubs,High,autumn,Alder,Decrease,426
Open shrubs,High,autumn,Alder,|Decrease| >= RMSE,13
Open shrubs,High,autumn,Birch,No change,2251
Open shrubs,High,autumn,Birch,Increase,8895
Open shrubs,High,autumn,Birch,Increase >= RMSE,817
Open shrubs,High,autumn,Birch,Decrease,3527
Open shrubs,High,autumn,Birch,|Decrease| >= RMSE,32
Open shrubs,High,autumn,Graminoids,No change,4367
Open shrubs,High,autumn,Graminoids,Increase,4833
Open shrubs,High,autumn,Graminoids,Increase >= RMSE,119
Open shrubs,High,autumn,Graminoids,Decrease,6110
Open shrubs,High,autumn,Graminoids,|Decrease| >= RMSE,93
Open shrubs,High,autumn,Willow,No change,5778
Open shrubs,High,autumn,Willow,Increase,4106
Open shrubs,High,autumn,Willow,Increase >= RMSE,53
Open shrubs,High,autumn,Willow,Decrease,5370
Open shrubs,High,autumn,Willow,|Decrease| >= RMSE,215
Open shrubs,High,autumn,Lichens,No change,2559
Open shrubs,High,autumn,Lichens,Increase,1387
Open shrubs,High,autumn,Lichens,Increase >= RMSE,15
Open shrubs,High,autumn,Lichens,Decrease,10174
Open shrubs,High,autumn,Lichens,|Decrease| >= RMSE,1387
Herbaceous,High,autumn,Deciduous shrubs,No change,31701
Herbaceous,High,autumn,Deciduous shrubs,Increase,200515
Herbaceous,High,autumn,Deciduous shrubs,Increase >= RMSE,9661
Herbaceous,High,autumn,Deciduous shrubs,Decrease,40142
Herbaceous,High,autumn,Deciduous shrubs,|Decrease| >= RMSE,398
Herbaceous,High,autumn,Evergreen shrubs,No change,49982
Herbaceous,High,autumn,Evergreen shrubs,Increase,126644
Herbaceous,High,autumn,Evergreen shrubs,Increase >= RMSE,3276
Herbaceous,High,autumn,Evergreen shrubs,Decrease,101998
Herbaceous,High,autumn,Evergreen shrubs,|Decrease| >= RMSE,517
Herbaceous,High,autumn,Forbs,No change,176273
Herbaceous,High,autumn,Forbs,Increase,63123
Herbaceous,High,autumn,Forbs,Increase >= RMSE,1250
Herbaceous,High,autumn,Forbs,Decrease,41410
Herbaceous,High,autumn,Forbs,|Decrease| >= RMSE,361
Herbaceous,High,autumn,Alder,No change,196483
Herbaceous,High,autumn,Alder,Increase,44152
Herbaceous,High,autumn,Alder,Increase >= RMSE,33694
Herbaceous,High,autumn,Alder,Decrease,7005
Herbaceous,High,autumn,Alder,|Decrease| >= RMSE,1083
Herbaceous,High,autumn,Birch,No change,48294
Herbaceous,High,autumn,Birch,Increase,138890
Herbaceous,High,autumn,Birch,Increase >= RMSE,21656
Herbaceous,High,autumn,Birch,Decrease,71244
Herbaceous,High,autumn,Birch,|Decrease| >= RMSE,2333
Herbaceous,High,autumn,Graminoids,No change,57786
Herbaceous,High,autumn,Graminoids,Increase,74500
Herbaceous,High,autumn,Graminoids,Increase >= RMSE,3400
Herbaceous,High,autumn,Graminoids,Decrease,140606
Herbaceous,High,autumn,Graminoids,|Decrease| >= RMSE,6125
Herbaceous,High,autumn,Willow,No change,72722
Herbaceous,High,autumn,Willow,Increase,75822
Herbaceous,High,autumn,Willow,Increase >= RMSE,1932
Herbaceous,High,autumn,Willow,Decrease,126965
Herbaceous,High,autumn,Willow,|Decrease| >= RMSE,4976
Herbaceous,High,autumn,Lichens,No change,59335
Herbaceous,High,autumn,Lichens,Increase,37378
Herbaceous,High,autumn,Lichens,Increase >= RMSE,1204
Herbaceous,High,autumn,Lichens,Decrease,148164
Herbaceous,High,autumn,Lichens,|Decrease| >= RMSE,36336
Tussock tundra,High,autumn,Deciduous shrubs,No change,18852
Tussock tundra,High,autumn,Deciduous shrubs,Increase,187468
Tussock tundra,High,autumn,Deciduous shrubs,Increase >= RMSE,8834
Tussock tundra,High,autumn,Deciduous shrubs,Decrease,26919
Tussock tundra,High,autumn,Deciduous shrubs,|Decrease| >= RMSE,18
Tussock tundra,High,autumn,Evergreen shrubs,No change,44036
Tussock tundra,High,autumn,Evergreen shrubs,Increase,108886
Tussock tundra,High,autumn,Evergreen shrubs,Increase >= RMSE,397
Tussock tundra,High,autumn,Evergreen shrubs,Decrease,88324
Tussock tundra,High,autumn,Evergreen shrubs,|Decrease| >= RMSE,448
Tussock tundra,High,autumn,Forbs,No change,202624
Tussock tundra,High,autumn,Forbs,Increase,24017
Tussock tundra,High,autumn,Forbs,Increase >= RMSE,95
Tussock tundra,High,autumn,Forbs,Decrease,15284
Tussock tundra,High,autumn,Forbs,|Decrease| >= RMSE,71
Tussock tundra,High,autumn,Alder,No change,155355
Tussock tundra,High,autumn,Alder,Increase,57461
Tussock tundra,High,autumn,Alder,Increase >= RMSE,21369
Tussock tundra,High,autumn,Alder,Decrease,7283
Tussock tundra,High,autumn,Alder,|Decrease| >= RMSE,623
Tussock tundra,High,autumn,Birch,No change,25041
Tussock tundra,High,autumn,Birch,Increase,143321
Tussock tundra,High,autumn,Birch,Increase >= RMSE,18747
Tussock tundra,High,autumn,Birch,Decrease,54323
Tussock tundra,High,autumn,Birch,|Decrease| >= RMSE,659
Tussock tundra,High,autumn,Graminoids,No change,46497
Tussock tundra,High,autumn,Graminoids,Increase,38802
Tussock tundra,High,autumn,Graminoids,Increase >= RMSE,505
Tussock tundra,High,autumn,Graminoids,Decrease,148518
Tussock tundra,High,autumn,Graminoids,|Decrease| >= RMSE,7769
Tussock tundra,High,autumn,Willow,No change,71484
Tussock tundra,High,autumn,Willow,Increase,53530
Tussock tundra,High,autumn,Willow,Increase >= RMSE,2623
Tussock tundra,High,autumn,Willow,Decrease,107018
Tussock tundra,High,autumn,Willow,|Decrease| >= RMSE,7436
Tussock tundra,High,autumn,Lichens,No change,43467
Tussock tundra,High,autumn,Lichens,Increase,18376
Tussock tundra,High,autumn,Lichens,Increase >= RMSE,163
Tussock tundra,High,autumn,Lichens,Decrease,156682
Tussock tundra,High,autumn,Lichens,|Decrease| >= RMSE,23403
Sparsely vegetated,High,autumn,Deciduous shrubs,No change,123994
Sparsely vegetated,High,autumn,Deciduous shrubs,Increase,74010
Sparsely vegetated,High,autumn,Deciduous shrubs,Increase >= RMSE,23056
Sparsely vegetated,High,autumn,Deciduous shrubs,Decrease,27384
Sparsely vegetated,High,autumn,Deciduous shrubs,|Decrease| >= RMSE,3700
Sparsely vegetated,High,autumn,Evergreen shrubs,No change,61755
Sparsely vegetated,High,autumn,Evergreen shrubs,Increase,88123
Sparsely vegetated,High,autumn,Evergreen shrubs,Increase >= RMSE,302
Sparsely vegetated,High,autumn,Evergreen shrubs,Decrease,101682
Sparsely vegetated,High,autumn,Evergreen shrubs,|Decrease| >= RMSE,282
Sparsely vegetated,High,autumn,Forbs,No change,157699
Sparsely vegetated,High,autumn,Forbs,Increase,56102
Sparsely vegetated,High,autumn,Forbs,Increase >= RMSE,466
Sparsely vegetated,High,autumn,Forbs,Decrease,37668
Sparsely vegetated,High,autumn,Forbs,|Decrease| >= RMSE,209
Sparsely vegetated,High,autumn,Alder,No change,247907
Sparsely vegetated,High,autumn,Alder,Increase,3074
Sparsely vegetated,High,autumn,Alder,Increase >= RMSE,665
Sparsely vegetated,High,autumn,Alder,Decrease,494
Sparsely vegetated,High,autumn,Alder,|Decrease| >= RMSE,4
Sparsely vegetated,High,autumn,Birch,No change,123241
Sparsely vegetated,High,autumn,Birch,Increase,74421
Sparsely vegetated,High,autumn,Birch,Increase >= RMSE,16348
Sparsely vegetated,High,autumn,Birch,Decrease,35819
Sparsely vegetated,High,autumn,Birch,|Decrease| >= RMSE,2315
Sparsely vegetated,High,autumn,Graminoids,No change,102103
Sparsely vegetated,High,autumn,Graminoids,Increase,87089
Sparsely vegetated,High,autumn,Graminoids,Increase >= RMSE,2566
Sparsely vegetated,High,autumn,Graminoids,Decrease,60020
Sparsely vegetated,High,autumn,Graminoids,|Decrease| >= RMSE,366
Sparsely vegetated,High,autumn,Willow,No change,156767
Sparsely vegetated,High,autumn,Willow,Increase,58303
Sparsely vegetated,High,autumn,Willow,Increase >= RMSE,1570
Sparsely vegetated,High,autumn,Willow,Decrease,34914
Sparsely vegetated,High,autumn,Willow,|Decrease| >= RMSE,590
Sparsely vegetated,High,autumn,Lichens,No change,58396
Sparsely vegetated,High,autumn,Lichens,Increase,74084
Sparsely vegetated,High,autumn,Lichens,Increase >= RMSE,730
Sparsely vegetated,High,autumn,Lichens,Decrease,110445
Sparsely vegetated,High,autumn,Lichens,|Decrease| >= RMSE,8489
Fen,High,autumn,Deciduous shrubs,No change,16090
Fen,High,autumn,Deciduous shrubs,Increase,180931
Fen,High,autumn,Deciduous shrubs,Increase >= RMSE,3954
Fen,High,autumn,Deciduous shrubs,Decrease,20410
Fen,High,autumn,Deciduous shrubs,|Decrease| >= RMSE,24
Fen,High,autumn,Evergreen shrubs,No change,44738
Fen,High,autumn,Evergreen shrubs,Increase,107896
Fen,High,autumn,Evergreen shrubs,Increase >= RMSE,593
Fen,High,autumn,Evergreen shrubs,Decrease,68055
Fen,High,autumn,Evergreen shrubs,|Decrease| >= RMSE,127
Fen,High,autumn,Forbs,No change,180306
Fen,High,autumn,Forbs,Increase,27469
Fen,High,autumn,Forbs,Increase >= RMSE,76
Fen,High,autumn,Forbs,Decrease,13117
Fen,High,autumn,Forbs,|Decrease| >= RMSE,441
Fen,High,autumn,Alder,No change,107026
Fen,High,autumn,Alder,Increase,95935
Fen,High,autumn,Alder,Increase >= RMSE,9946
Fen,High,autumn,Alder,Decrease,8432
Fen,High,autumn,Alder,|Decrease| >= RMSE,70
Fen,High,autumn,Birch,No change,19402
Fen,High,autumn,Birch,Increase,143388
Fen,High,autumn,Birch,Increase >= RMSE,22237
Fen,High,autumn,Birch,Decrease,35676
Fen,High,autumn,Birch,|Decrease| >= RMSE,706
Fen,High,autumn,Graminoids,No change,60549
Fen,High,autumn,Graminoids,Increase,43279
Fen,High,autumn,Graminoids,Increase >= RMSE,908
Fen,High,autumn,Graminoids,Decrease,113216
Fen,High,autumn,Graminoids,|Decrease| >= RMSE,3457
Fen,High,autumn,Willow,No change,56066
Fen,High,autumn,Willow,Increase,46529
Fen,High,autumn,Willow,Increase >= RMSE,541
Fen,High,autumn,Willow,Decrease,115926
Fen,High,autumn,Willow,|Decrease| >= RMSE,2347
Fen,High,autumn,Lichens,No change,35225
Fen,High,autumn,Lichens,Increase,15486
Fen,High,autumn,Lichens,Increase >= RMSE,524
Fen,High,autumn,Lichens,Decrease,155503
Fen,High,autumn,Lichens,|Decrease| >= RMSE,14671
Bog,High,autumn,Deciduous shrubs,No change,NA
Bog,High,autumn,Deciduous shrubs,Increase,3
Bog,High,autumn,Deciduous shrubs,Increase >= RMSE,NA
Bog,High,autumn,Deciduous shrubs,Decrease,NA
Bog,High,autumn,Deciduous shrubs,|Decrease| >= RMSE,NA
Bog,High,autumn,Evergreen shrubs,No change,NA
Bog,High,autumn,Evergreen shrubs,Increase,NA
Bog,High,autumn,Evergreen shrubs,Increase >= RMSE,NA
Bog,High,autumn,Evergreen shrubs,Decrease,3
Bog,High,autumn,Evergreen shrubs,|Decrease| >= RMSE,NA
Bog,High,autumn,Forbs,No change,3
Bog,High,autumn,Forbs,Increase,NA
Bog,High,autumn,Forbs,Increase >= RMSE,NA
Bog,High,autumn,Forbs,Decrease,NA
Bog,High,autumn,Forbs,|Decrease| >= RMSE,NA
Bog,High,autumn,Alder,No change,NA
Bog,High,autumn,Alder,Increase,2
Bog,High,autumn,Alder,Increase >= RMSE,NA
Bog,High,autumn,Alder,Decrease,1
Bog,High,autumn,Alder,|Decrease| >= RMSE,NA
Bog,High,autumn,Birch,No change,NA
Bog,High,autumn,Birch,Increase,2
Bog,High,autumn,Birch,Increase >= RMSE,NA
Bog,High,autumn,Birch,Decrease,1
Bog,High,autumn,Birch,|Decrease| >= RMSE,NA
Bog,High,autumn,Graminoids,No change,3
Bog,High,autumn,Graminoids,Increase,NA
Bog,High,autumn,Graminoids,Increase >= RMSE,NA
Bog,High,autumn,Graminoids,Decrease,NA
Bog,High,autumn,Graminoids,|Decrease| >= RMSE,NA
Bog,High,autumn,Willow,No change,1
Bog,High,autumn,Willow,Increase,NA
Bog,High,autumn,Willow,Increase >= RMSE,NA
Bog,High,autumn,Willow,Decrease,2
Bog,High,autumn,Willow,|Decrease| >= RMSE,NA
Bog,High,autumn,Lichens,No change,1
Bog,High,autumn,Lichens,Increase,NA
Bog,High,autumn,Lichens,Increase >= RMSE,NA
Bog,High,autumn,Lichens,Decrease,2
Bog,High,autumn,Lichens,|Decrease| >= RMSE,NA
Shallows/littoral,High,autumn,Deciduous shrubs,No change,1
Shallows/littoral,High,autumn,Deciduous shrubs,Increase,NA
Shallows/littoral,High,autumn,Deciduous shrubs,Increase >= RMSE,NA
Shallows/littoral,High,autumn,Deciduous shrubs,Decrease,NA
Shallows/littoral,High,autumn,Deciduous shrubs,|Decrease| >= RMSE,NA
Shallows/littoral,High,autumn,Evergreen shrubs,No change,NA
Shallows/littoral,High,autumn,Evergreen shrubs,Increase,1
Shallows/littoral,High,autumn,Evergreen shrubs,Increase >= RMSE,NA
Shallows/littoral,High,autumn,Evergreen shrubs,Decrease,NA
Shallows/littoral,High,autumn,Evergreen shrubs,|Decrease| >= RMSE,NA
Shallows/littoral,High,autumn,Forbs,No change,NA
Shallows/littoral,High,autumn,Forbs,Increase,NA
Shallows/littoral,High,autumn,Forbs,Increase >= RMSE,NA
Shallows/littoral,High,autumn,Forbs,Decrease,1
Shallows/littoral,High,autumn,Forbs,|Decrease| >= RMSE,NA
Shallows/littoral,High,autumn,Alder,No change,1
Shallows/littoral,High,autumn,Alder,Increase,NA
Shallows/littoral,High,autumn,Alder,Increase >= RMSE,NA
Shallows/littoral,High,autumn,Alder,Decrease,NA
Shallows/littoral,High,autumn,Alder,|Decrease| >= RMSE,NA
Shallows/littoral,High,autumn,Birch,No change,1
Shallows/littoral,High,autumn,Birch,Increase,NA
Shallows/littoral,High,autumn,Birch,Increase >= RMSE,NA
Shallows/littoral,High,autumn,Birch,Decrease,NA
Shallows/littoral,High,autumn,Birch,|Decrease| >= RMSE,NA
Shallows/littoral,High,autumn,Graminoids,No change,NA
Shallows/littoral,High,autumn,Graminoids,Increase,1
Shallows/littoral,High,autumn,Graminoids,Increase >= RMSE,NA
Shallows/littoral,High,autumn,Graminoids,Decrease,NA
Shallows/littoral,High,autumn,Graminoids,|Decrease| >= RMSE,NA
Shallows/littoral,High,autumn,Willow,No change,1
Shallows/littoral,High,autumn,Willow,Increase,NA
Shallows/littoral,High,autumn,Willow,Increase >= RMSE,NA
Shallows/littoral,High,autumn,Willow,Decrease,NA
Shallows/littoral,High,autumn,Willow,|Decrease| >= RMSE,NA
Shallows/littoral,High,autumn,Lichens,No change,NA
Shallows/littoral,High,autumn,Lichens,Increase,1
Shallows/littoral,High,autumn,Lichens,Increase >= RMSE,NA
Shallows/littoral,High,autumn,Lichens,Decrease,NA
Shallows/littoral,High,autumn,Lichens,|Decrease| >= RMSE,NA
Barren,High,autumn,Deciduous shrubs,No change,55927
Barren,High,autumn,Deciduous shrubs,Increase,19014
Barren,High,autumn,Deciduous shrubs,Increase >= RMSE,6054
Barren,High,autumn,Deciduous shrubs,Decrease,5786
Barren,High,autumn,Deciduous shrubs,|Decrease| >= RMSE,820
Barren,High,autumn,Evergreen shrubs,No change,28466
Barren,High,autumn,Evergreen shrubs,Increase,30867
Barren,High,autumn,Evergreen shrubs,Increase >= RMSE,106
Barren,High,autumn,Evergreen shrubs,Decrease,28143
Barren,High,autumn,Evergreen shrubs,|Decrease| >= RMSE,19
Barren,High,autumn,Forbs,No change,54500
Barren,High,autumn,Forbs,Increase,14958
Barren,High,autumn,Forbs,Increase >= RMSE,152
Barren,High,autumn,Forbs,Decrease,17871
Barren,High,autumn,Forbs,|Decrease| >= RMSE,120
Barren,High,autumn,Alder,No change,85855
Barren,High,autumn,Alder,Increase,1396
Barren,High,autumn,Alder,Increase >= RMSE,185
Barren,High,autumn,Alder,Decrease,163
Barren,High,autumn,Alder,|Decrease| >= RMSE,2
Barren,High,autumn,Birch,No change,48570
Barren,High,autumn,Birch,Increase,24095
Barren,High,autumn,Birch,Increase >= RMSE,4798
Barren,High,autumn,Birch,Decrease,9438
Barren,High,autumn,Birch,|Decrease| >= RMSE,700
Barren,High,autumn,Graminoids,No change,46330
Barren,High,autumn,Graminoids,Increase,23530
Barren,High,autumn,Graminoids,Increase >= RMSE,600
Barren,High,autumn,Graminoids,Decrease,16993
Barren,High,autumn,Graminoids,|Decrease| >= RMSE,148
Barren,High,autumn,Willow,No change,62046
Barren,High,autumn,Willow,Increase,13137
Barren,High,autumn,Willow,Increase >= RMSE,265
Barren,High,autumn,Willow,Decrease,11778
Barren,High,autumn,Willow,|Decrease| >= RMSE,375
Barren,High,autumn,Lichens,No change,24316
Barren,High,autumn,Lichens,Increase,24419
Barren,High,autumn,Lichens,Increase >= RMSE,196
Barren,High,autumn,Lichens,Decrease,37191
Barren,High,autumn,Lichens,|Decrease| >= RMSE,1479
Water,High,autumn,Deciduous shrubs,No change,NA
Water,High,autumn,Deciduous shrubs,Increase,NA
Water,High,autumn,Deciduous shrubs,Increase >= RMSE,NA
Water,High,autumn,Deciduous shrubs,Decrease,NA
Water,High,autumn,Deciduous shrubs,|Decrease| >= RMSE,NA
Water,High,autumn,Evergreen shrubs,No change,NA
Water,High,autumn,Evergreen shrubs,Increase,NA
Water,High,autumn,Evergreen shrubs,Increase >= RMSE,NA
Water,High,autumn,Evergreen shrubs,Decrease,NA
Water,High,autumn,Evergreen shrubs,|Decrease| >= RMSE,NA
Water,High,autumn,Forbs,No change,NA
Water,High,autumn,Forbs,Increase,NA
Water,High,autumn,Forbs,Increase >= RMSE,NA
Water,High,autumn,Forbs,Decrease,NA
Water,High,autumn,Forbs,|Decrease| >= RMSE,NA
Water,High,autumn,Alder,No change,NA
Water,High,autumn,Alder,Increase,NA
Water,High,autumn,Alder,Increase >= RMSE,NA
Water,High,autumn,Alder,Decrease,NA
Water,High,autumn,Alder,|Decrease| >= RMSE,NA
Water,High,autumn,Birch,No change,NA
Water,High,autumn,Birch,Increase,NA
Water,High,autumn,Birch,Increase >= RMSE,NA
Water,High,autumn,Birch,Decrease,NA
Water,High,autumn,Birch,|Decrease| >= RMSE,NA
Water,High,autumn,Graminoids,No change,NA
Water,High,autumn,Graminoids,Increase,NA
Water,High,autumn,Graminoids,Increase >= RMSE,NA
Water,High,autumn,Graminoids,Decrease,NA
Water,High,autumn,Graminoids,|Decrease| >= RMSE,NA
Water,High,autumn,Willow,No change,NA
Water,High,autumn,Willow,Increase,NA
Water,High,autumn,Willow,Increase >= RMSE,NA
Water,High,autumn,Willow,Decrease,NA
Water,High,autumn,Willow,|Decrease| >= RMSE,NA
Water,High,autumn,Lichens,No change,NA
Water,High,autumn,Lichens,Increase,NA
Water,High,autumn,Lichens,Increase >= RMSE,NA
Water,High,autumn,Lichens,Decrease,NA
Water,High,autumn,Lichens,|Decrease| >= RMSE,NA
Evergreen forest,None,calving,Deciduous shrubs,No change,117147.5843
Evergreen forest,None,calving,Deciduous shrubs,Increase,219413.9647
Evergreen forest,None,calving,Deciduous shrubs,Increase >= RMSE,24653.4
Evergreen forest,None,calving,Deciduous shrubs,Decrease,53318.97647
Evergreen forest,None,calving,Deciduous shrubs,|Decrease| >= RMSE,1010
Evergreen forest,None,calving,Evergreen shrubs,No change,208799
Evergreen forest,None,calving,Evergreen shrubs,Increase,118760.2353
